level,cn,ev_p_rooij,ev_p_delta,ev_a_given_c,ev_nc_given_na,ev_A || C,ev_A implies -C,ev_A implies C,ev_C implies -A,ev_C implies A,alpha,cost_conditional,ev_uncertain_both
PL,A implies -C,-7.609422328888402e-12,-4.848534813417102e-15,4.88871461841937e-14,2.475336125281838e-15,0.040838006795498205,8.460946330569335e-14,0.4959884990709705,1.1574818848818699e-4,0.46305774594497795,5,0.01,0.964190302009858
PL,A implies C,0.4773546294325365,0.4474420025137296,0.45817978571700074,0.46483086993465217,0.040838006795498205,8.460946330569335e-14,0.4959884990709705,1.1574818848818699e-4,0.46305774594497795,5,0.01,0.964190302009858
PL,C implies -A,-0.09241363341703812,-6.334357495605654e-6,1.539212779732082e-5,5.7639968528360665e-8,0.040838006795498205,8.460946330569335e-14,0.4959884990709705,1.1574818848818699e-4,0.46305774594497795,5,0.01,0.964190302009858
PL,C implies A,0.4470705227301254,0.4061953323508771,0.43536892934485916,0.4208181999397463,0.040838006795498205,8.460946330569335e-14,0.4959884990709705,1.1574818848818699e-4,0.46305774594497795,5,0.01,0.964190302009858
prior,A || C,-13.687276239670766,0.010904319816701851,0.23356908157686232,0.22087208569443967,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0.01,0.6167182661809306
prior,A implies -C,-25.103542705506225,-0.1254218295324652,0.010829036194738954,0.006902258293673033,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0.01,0.6167182661809306
prior,A implies C,0.1289925944798248,0.12243063128680366,0.12489786203377998,0.12930311396144095,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0.01,0.6167182661809306
prior,C implies -A,-48.10929802981573,-0.11606542312336467,0.0068008935658471145,0.01146529087648965,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0.01,0.6167182661809306
prior,C implies A,0.12418492877101418,0.11384556490168506,0.12878930714424505,0.1250523680340861,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,5,0.01,0.6167182661809306
LL,A || C,-33.089774357499394,0.09476809551816032,0.23729654786382065,0.10324664612658319,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0.01,0.5562985815035588
LL,A implies -C,-6.17919763290141e-11,-7.17587080620969e-14,5.8462490166522e-13,4.295141799196171e-14,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0.01,0.5562985815035588
LL,A implies C,0.32347969082651484,0.30652014598090654,0.30774394849101405,0.31773555223540967,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0.01,0.5562985815035588
LL,C implies -A,-1.7488781238012843,-7.601939298403021e-5,1.3265202235916083e-4,4.752490565399193e-7,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0.01,0.5562985815035588
LL,C implies A,0.2902818676642596,0.26197801408618665,0.2843879945554411,0.27060464255997063,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,10,0.01,0.5562985815035588
PL,A || C,-0.007734156047367446,4.3077425427778647e-4,0.005289885182197163,0.001672307637818037,0.014585234387115214,2.639498828925641e-15,0.5106457444943207,3.8267208196207e-6,0.4747651943977843,10,0.01,0.9988948726183882
PL,A implies -C,-2.5037395558056787e-13,-4.370494522749339e-17,1.4131532126940256e-15,1.85987897990297e-16,0.014585234387115214,2.639498828925641e-15,0.5106457444943207,3.8267208196207e-6,0.4747651943977843,10,0.01,0.9988948726183882
PL,A implies C,0.49101668155659833,0.4594962249019291,0.4711191306345337,0.47775064930769773,0.014585234387115214,2.639498828925641e-15,0.5106457444943207,3.8267208196207e-6,0.4747651943977843,10,0.01,0.9988948726183882
PL,C implies -A,-0.0030521937780853205,-2.085242438338492e-7,5.147124225600623e-7,3.664642030250154e-9,0.014585234387115214,2.639498828925641e-15,0.5106457444943207,3.8267208196207e-6,0.4747651943977843,10,0.01,0.9988948726183882
PL,C implies A,0.457737526368527,0.41469547802672335,0.4454576586731726,0.43013031717013717,0.014585234387115214,2.639498828925641e-15,0.5106457444943207,3.8267208196207e-6,0.4747651943977843,10,0.01,0.9988948726183882
prior,A || C,-13.687276239670766,0.010904319816701851,0.23356908157686232,0.22087208569443967,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0.01,0.6167182661809306
prior,A implies -C,-25.103542705506225,-0.1254218295324652,0.010829036194738954,0.006902258293673033,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0.01,0.6167182661809306
prior,A implies C,0.1289925944798248,0.12243063128680366,0.12489786203377998,0.12930311396144095,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0.01,0.6167182661809306
prior,C implies -A,-48.10929802981573,-0.11606542312336467,0.0068008935658471145,0.01146529087648965,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0.01,0.6167182661809306
prior,C implies A,0.12418492877101418,0.11384556490168506,0.12878930714424505,0.1250523680340861,0.45044341378541847,0.13905292329099775,0.13621401069758035,0.13856947514377105,0.13572017708277626,10,0.01,0.6167182661809306
LL,A || C,-33.089774357499394,0.09476809551816032,0.23729654786382065,0.10324664612658319,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0.1,0.5562985815035588
LL,A implies -C,-6.17919763290141e-11,-7.17587080620969e-14,5.8462490166522e-13,4.295141799196171e-14,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0.1,0.5562985815035588
LL,A implies C,0.32347969082651484,0.30652014598090654,0.30774394849101405,0.31773555223540967,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0.1,0.5562985815035588
LL,C implies -A,-1.7488781238012843,-7.601939298403021e-5,1.3265202235916083e-4,4.752490565399193e-7,0.3634388620190799,1.2990106974914057e-12,0.3353301109728594,0.0017106804341109935,0.299520346572654,1,0.1,0.5562985815035588
